type,value,comment
ip,45.147.230.140,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.230.141,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.230.141,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.230.159,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.230.159,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.230.241,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.230.30,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.230.87,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.231.222,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.231.222,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.240.136,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.240.138,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.240.138,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.240.157,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.240.178,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.240.178,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.240.194,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.240.194,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.240.220,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.240.220,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.240.222,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.240.240,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.241.1,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.241.134,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.241.138,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.241.139,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.241.14,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.241.14,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.241.141,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.241.141,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.241.146,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.241.153,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.241.158,Cobalt Strike C2 server linked to Ryuk activity
ip,45.153.241.167,Cobalt Strike C2 server linked to Ryuk activity
ip,45.32.130.5,Cobalt Strike C2 server linked to Ryuk activity
ip,45.32.134.62,Cobalt Strike C2 server linked to Ryuk activity
ip,45.32.170.9,Cobalt Strike C2 server linked to Ryuk activity
ip,45.32.30.162,Cobalt Strike C2 server linked to Ryuk activity
ip,45.34.6.221,Cobalt Strike C2 server linked to Ryuk activity
ip,45.34.6.222,Cobalt Strike C2 server linked to Ryuk activity
ip,45.34.6.223,Cobalt Strike C2 server linked to Ryuk activity
ip,45.34.6.225,Cobalt Strike C2 server linked to Ryuk activity
ip,45.34.6.226,Cobalt Strike C2 server linked to Ryuk activity
ip,45.34.6.229,Cobalt Strike C2 server linked to Ryuk activity
ip,45.63.95.187,Cobalt Strike C2 server linked to Ryuk activity
ip,45.76.167.35,Cobalt Strike C2 server linked to Ryuk activity
ip,45.76.20.140,Cobalt Strike C2 server linked to Ryuk activity
ip,45.76.231.195,Cobalt Strike C2 server linked to Ryuk activity
ip,45.76.45.162,Cobalt Strike C2 server linked to Ryuk activity
ip,45.76.49.78,Cobalt Strike C2 server linked to Ryuk activity
ip,45.77.119.212,Cobalt Strike C2 server linked to Ryuk activity
ip,45.77.153.72,Cobalt Strike C2 server linked to Ryuk activity
ip,45.77.206.105,Cobalt Strike C2 server linked to Ryuk activity
ip,45.77.58.172,Cobalt Strike C2 server linked to Ryuk activity
ip,45.77.89.31,Cobalt Strike C2 server linked to Ryuk activity
ip,45.77.98.157,Cobalt Strike C2 server linked to Ryuk activity
ip,46.19.142.154,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.64.113,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.64.133,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.64.135,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.64.144,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.64.149,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.64.167,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.64.172,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.64.174,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.64.182,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.70.149,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.72.200,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.72.202,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.79.10,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.79.12,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.79.121,Cobalt Strike C2 server linked to Ryuk activity
ip,5.2.79.122,Cobalt Strike C2 server linked to Ryuk activity
ip,63.209.33.131,Cobalt Strike C2 server linked to Ryuk activity
ip,64.44.131.103,Cobalt Strike C2 server linked to Ryuk activity
ip,64.44.131.107,Cobalt Strike C2 server linked to Ryuk activity
ip,66.42.118.123,Cobalt Strike C2 server linked to Ryuk activity
ip,66.42.86.61,Cobalt Strike C2 server linked to Ryuk activity
ip,69.55.60.140,Cobalt Strike C2 server linked to Ryuk activity
ip,69.61.38.132,Cobalt Strike C2 server linked to Ryuk activity
ip,69.61.38.155,Cobalt Strike C2 server linked to Ryuk activity
ip,69.61.38.156,Cobalt Strike C2 server linked to Ryuk activity
ip,69.61.38.157,Cobalt Strike C2 server linked to Ryuk activity
ip,74.118.138.115,Cobalt Strike C2 server linked to Ryuk activity
ip,74.118.138.115,Cobalt Strike C2 server linked to Ryuk activity
ip,74.118.138.137,Cobalt Strike C2 server linked to Ryuk activity
ip,74.118.138.138,Cobalt Strike C2 server linked to Ryuk activity
ip,74.118.138.139,Cobalt Strike C2 server linked to Ryuk activity
ip,79.124.60.117,Cobalt Strike C2 server linked to Ryuk activity
ip,80.240.18.106,Cobalt Strike C2 server linked to Ryuk activity
ip,81.17.25.210,Cobalt Strike C2 server linked to Ryuk activity
ip,81.17.28.105,Cobalt Strike C2 server linked to Ryuk activity
ip,81.17.28.122,Cobalt Strike C2 server linked to Ryuk activity
ip,81.17.28.70,Cobalt Strike C2 server linked to Ryuk activity
ip,81.17.28.82,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.171.55,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.171.67,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.171.68,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.171.69,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.171.73,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.171.74,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.171.75,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.171.76,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.171.77,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.171.78,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.171.94,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.171.96,Cobalt Strike C2 server linked to Ryuk activity
